Time,SwivelPower,SwivelPower,SwivelPower,SwivelPower,SwivelPower,SwivelPower,SwivelPower,SwivelPower,MinAngle,MinAngle,MinAngle,MinAngle,MinAngle,MinAngle,MinAngle,MinAngle,CatchSlip,CatchSlip,CatchSlip,CatchSlip,CatchSlip,CatchSlip,CatchSlip,CatchSlip,MaxAngle,MaxAngle,MaxAngle,MaxAngle,MaxAngle,MaxAngle,MaxAngle,MaxAngle,FinishSlip,FinishSlip,FinishSlip,FinishSlip,FinishSlip,FinishSlip,FinishSlip,FinishSlip,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Drive Start T,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Rower Swivel Power,Drive Time,Drive Time,Drive Time,Drive Time,Drive Time,Drive Time,Drive Time,Drive Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Recovery Time,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle Max F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Angle 0.7 F,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q1,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q2,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q3,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Work PC Q4,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Max Force PC,Rating,AvgBoatSpeed,StrokeNumber,Dist/Stroke,Average Power
2952360,211,347,396,350,440,379,349,375,-44,-48.875,-48.875,-47.125,-48.25,-46.875,-53.1875,-45.5,5.5625,9.0625,3.6875,7.5,3.6875,6.0625,11.125,9.875,29.5,30.625,27.1875,32.3125,30,27.8125,30.125,38.8125,13.9375,13.4375,4.875,11,12.0625,4.25,13,10.625,40,40,44,41,43,43,44,42,211,347,396,350,440,379,349,375,0.720215,0.72998,0.780029,0.73999,0.709961,0.749756,0.699951,0.800049,0.659668,0.649902,0.549805,0.609863,0.599854,0.560059,0.629883,0.559814,-15.4375,-15.0625,-30.0625,-14.4375,-10.875,-7.9375,-29.0625,-20.9375,-31.662498,-30.027779,-38.242889,-28.940548,-37.257721,-34.35083,-37.062271,-29.529541,24.110695,17.518059,24.084566,18.268209,20.634201,19.010616,18.148331,21.557331,41.672699,46.141495,37.208748,45.424622,38.244007,36.197506,43.96542,46.987785,30.090794,32.314838,30.191378,30.160782,33.487053,33.321873,30.672333,25.734701,4.125813,4.025609,8.515309,6.146389,7.634743,11.47001,7.213915,5.720179,38.860546,42.531445,23.663523,41.148701,47.763577,50.363785,28.957239,29.13269,44.5,4.515625,608,6.050781,355
2953700,195,344,397,339,426,361,335,357,-41.75,-47.9375,-49.6875,-46.125,-48.4375,-48.0625,-53.1875,-45.5,8.375,8.25,4.9375,7,4.25,8.4375,11.75,10,30.875,30.625,30.625,27.5625,29.75,30.6875,30.6875,38.8125,16.4375,12.9375,8.5625,7.0625,11.6875,7.75,13.625,10,39,40,45,41,43,42,43,42,195,344,397,339,426,361,335,357,0.719971,0.75,0.73999,0.719971,0.719971,0.800049,0.719971,0.77002,0.630127,0.620117,0.570068,0.600098,0.590088,0.48999,0.610107,0.570068,-11.0625,-14.5625,-30.0625,-13.5,-12.4375,-11.5625,-30.6875,-23.1875,-23.470654,-30.854809,-36.716976,-29.533611,-37.041664,-35.015354,-36.413464,-30.072996,22.418827,18.033752,20.980373,19.211378,19.749338,17.785152,19.294079,21.755991,43.770355,45.547928,40.277775,45.625961,38.695602,36.652687,45.502293,44.142349,30.753962,31.822336,29.979021,30.046452,33.689152,32.771912,29.003504,26.979113,3.05686,4.595985,8.762832,5.116211,7.86591,12.790249,6.200124,7.122543,42.254734,42.482098,24.435797,41.593628,46.043167,46.476643,26.825634,26.464048,44.5,4.722656,609,6.332031,344
2955060,243,350,377,377,417,369,323,360,-45.3125,-49.375,-47.8125,-47.375,-47.375,-49.4375,-47.1875,-46.9375,6.0625,8.1875,3,7.4375,5.5625,5.8125,7.75,9.9375,30.0625,29.375,29.375,32.0625,28.9375,29.4375,29.875,38.5625,15.8125,11.375,7.5625,10.1875,10.0625,6.625,12.8125,10,40,41,45,42,43,43,42,42,243,350,377,377,417,369,323,360,0.719971,0.819824,0.670166,0.740234,0.710205,0.739746,0.800049,0.769775,0.639893,0.570068,0.629883,0.599854,0.599854,0.590088,0.530029,0.580078,-12.5,-15.8125,-29.3125,-13.5,-8.6875,-12.875,-26.9375,-23.875,-26.64221,-33.810741,-37.297043,-30.474476,-33.875,-37.003677,-35.378033,-30.992668,21.326368,17.961514,25.948324,18.420443,18.032173,19.0131,21.69611,21.073822,45.417751,43.560345,38.383804,44.532291,38.859779,36.056225,42.735237,41.928638,30.406261,32.185249,27.747324,30.768078,35.849041,32.683681,28.989738,27.152681,2.849621,6.292889,7.920545,6.279181,7.25901,12.246996,6.578916,9.844852,43.245472,42.845852,23.661072,42.643589,50.696152,46.354992,26.752619,26.973686,44,4.738281,610,6.445313,352
2956400,225,360,382,362,412,368,327,338,-44,-48.875,-49.875,-47.125,-49.125,-49.625,-51.5,-46.1875,5,7.5,1.75,6.8125,5.0625,8.6875,13.3125,10.5625,29.5,30.625,30.125,32.8125,30,31.1875,30.6875,39.0625,15.25,14.4375,8.5,12,11.75,7.5625,11.875,10.375,40,41,44,42,43,42,42,41,225,360,382,362,412,368,327,338,0.679932,0.76001,0.790039,0.72998,0.709961,0.679932,0.679932,0.77002,0.670166,0.620117,0.540039,0.610107,0.600098,0.640137,0.640137,0.590088,-11.75,-14.3125,-34.5625,-11.8125,-9.125,-12.3125,-26.9375,-22.75,-28.299999,-32.658978,-40.713135,-30.800678,-37.280273,-35.25592,-34.349255,-30.058153,23.640841,19.341572,26.221863,19.468626,19.27697,17.325506,13.984394,21.439379,41.862404,46.70908,36.590866,45.244946,38.21442,37.492386,43.347054,44.102745,31.617064,30.09915,29.112507,30.202209,36.112312,33.557064,33.106262,26.645193,2.879691,3.850204,8.074768,5.084223,6.396302,11.625041,9.562294,7.812684,43.877552,43.474846,19.58042,44.175137,50.552921,46.171696,29.885933,27.49267,44.5,4.972656,611,6.664063,346
2957760,185,321,370,353,408,380,331,364,-44,-48.875,-48.0625,-46.875,-46.25,-50.5625,-52,-47.125,15.625,9.1875,2.625,6.125,6.1875,9.125,8.9375,9.9375,30.3125,30.375,30.125,31.8125,29.75,28.0625,30.6875,38.0625,16.0625,14.75,8.75,10.8125,12,4.875,12.9375,10.3125,35,41,44,44,43,43,44,43,185,321,370,353,408,380,331,364,0.709961,0.690186,0.76001,0.689941,0.76001,0.680176,0.689941,0.77002,0.640137,0.659912,0.540039,0.620117,0.52002,0.639893,0.630127,0.570068,-13,-13.8125,-30.3125,-11.3125,-10.875,-11,-30.4375,-23.875,-24.322348,-33.730961,-38.51638,-31.666943,-32.411488,-34.226158,-37.3419,-31.822775,16.113823,18.839819,26.681095,19.415577,16.664383,16.004776,20.870871,20.869448,46.055737,46.139557,36.688251,43.22599,41.760536,35.907639,42.745747,42.943962,35.350056,32.084175,28.168436,31.502825,35.627548,36.199425,27.629152,27.445498,2.480388,2.936448,8.462215,5.85561,5.947532,11.888162,8.754238,8.741095,41.715725,44.242905,22.701839,45.194599,47.154472,48.542942,26.077097,27.13348,44,4.902344,612,6.667969,339
2959080,212,337,335,345,419,382,321,345,-42.875,-49.125,-46.1875,-46.875,-48.4375,-53.4375,-47.4375,-45.25,7.0625,7.625,3,7.75,5.25,13.5625,6.6875,10.375,30.0625,30.375,29.625,32.0625,29.5,31.625,30.9375,38.3125,16.1875,14.5,9.5,11.5625,12.0625,7.25,12.3125,10.625,38,40,43,41,42,41,41,40,212,337,335,345,419,382,321,345,0.689941,0.800049,0.75,0.699951,0.780029,0.679932,0.699951,0.73999,0.649902,0.559814,0.549805,0.609863,0.5,0.639893,0.619873,0.579834,-13.8125,-16.5,-28.875,-12.0625,-11.125,-28.5625,-27.8125,-22.5,-26.70759,-33.542744,-36.829708,-29.169628,-35.951172,-34.510662,-35.804241,-29.310318,23.286776,19.148821,27.815285,18.750759,17.719196,13.042435,24.217218,20.276644,45.568581,45.495155,37.009624,44.552402,40.218292,39.52438,40.439983,44.307404,28.302742,30.714405,27.889187,31.206244,35.161522,34.522396,27.505293,27.51683,2.841896,4.641617,7.285907,5.490592,6.900985,12.91079,7.837505,7.899124,39.84576,41.222569,23.215752,44.101345,48.494453,29.243204,25.039873,27.143923,45,4.859375,613,6.417969,337
2960420,206,309,345,350,398,353,322,352,-44.8125,-48.625,-48.25,-46.125,-47.5625,-47.5625,-50.375,-44.8125,5.3125,11.5,5.1875,8,4.75,8.375,11.8125,10.625,30.0625,29.375,26.9375,32.8125,28.9375,30.6875,30.4375,38.5625,16.75,14.6875,6.8125,11.875,11.5625,8.6875,12.875,11.25,39,39,43,41,42,42,42,41,206,309,345,350,398,353,322,352,0.719971,0.679932,0.75,0.709961,0.669922,0.649902,0.679932,0.75,0.650146,0.680176,0.560059,0.620117,0.630127,0.650146,0.640137,0.590088,-14.0625,-16.75,-30.75,-11.125,-11.625,-12.625,-27.1875,-20.25,-34.178776,-30.532196,-37.341042,-28.559092,-35.568169,-34.112247,-33.826359,-28.406919,25.005985,16.393322,25.20982,18.58577,19.580374,18.49552,17.464661,20.30821,42.29496,47.653225,38.430405,45.036251,39.275135,38.846329,46.644855,47.545643,29.991928,32.51413,28.995287,30.952204,34.676502,32.008137,28.683233,25.666306,2.707133,3.439319,7.364483,5.425774,6.467992,10.65001,7.207253,6.479837,41.068447,40.865387,22.47191,44.338875,46.977123,44.64856,28.692961,29.46027,44.5,5.015625,614,6.722656,329
2961760,180,317,356,332,409,337,312,351,-43.125,-47,-48.0625,-44.5625,-48,-47.3125,-49.4375,-44.8125,11.5625,8.25,3.875,7,4.875,6.3125,7.75,9.8125,29.25,29.625,29.625,32.3125,29.25,30.6875,30.6875,38.5625,16.8125,14.3125,10,11.375,11.6875,8.625,13.125,9.9375,37,41,44,42,44,44,43,42,180,317,356,332,409,337,312,351,0.689941,0.709961,0.719971,0.689941,0.699951,0.719971,0.670166,0.76001,0.650146,0.630127,0.560059,0.620117,0.600098,0.580078,0.649902,0.580078,-13.84375,-16.25,-28.625,-10.125,-9.5625,-27.75,-28.3125,-20.25,-26.581732,-32.844273,-36.782177,-29.931543,-34.7122,-35.013733,-36.40686,-29.268127,22.243591,19.744904,25.885054,19.77096,18.920866,20.356707,23.562523,21.501606,44.367088,45.881809,38.664021,44.618462,40.209576,38.229908,41.683815,44.404865,29.740021,30.943403,27.584284,30.028587,34.694855,31.123014,26.002827,25.720221,3.6493,3.429891,7.866641,5.581985,6.174704,10.290376,8.750832,8.373303,40.008537,40.130505,25.020113,44.796745,49.757282,25.08013,26.365053,29.46027,44.5,4.804688,615,6.441406,324
2963080,165,339,339,327,410,324,294,342,-44.25,-48.875,-46.5625,-45.8125,-47.5625,-47.8125,-51.75,-45.0625,6.6875,8.3125,2.375,7.75,4.75,7.375,13.9375,11.25,26.8125,30.125,28,32.0625,29.5,31.1875,30.9375,38.8125,16.5,13.5625,8,12.25,12.125,9.5,13.5625,9.5625,39,40,43,41,42,42,41,40,165,339,339,327,410,324,294,342,0.669922,0.839844,0.77002,0.719971,0.680176,0.660156,0.679932,0.76001,0.659912,0.540039,0.52002,0.589844,0.599854,0.619873,0.619873,0.569824,-13.25,-15.8125,-30.5625,-12.5625,-11.375,-26.4375,-27.8125,-19.625,-37.352863,-33.403767,-37.254711,-29.948215,-35.438431,-33.949432,-34.025002,-28.420246,28.892889,18.614052,26.725302,19.366978,19.92495,19.215101,14.477258,19.483511,42.49324,45.576786,38.357388,44.979752,40.045895,39.118004,44.58379,46.349056,27.874289,30.934408,28.075712,30.533209,34.329189,31.672737,32.177917,26.428923,0.739584,4.87476,6.841598,5.120061,5.699967,9.994158,8.761033,7.738509,42.176868,42.034702,22.45389,42.696629,46.958637,27.056963,28.949356,30.327869,45,4.921875,616,6.5,317
2964420,191,310,346,318,395,325,309,335,-46.125,-47.9375,-46.5625,-45.3125,-49.375,-47.125,-48.9375,-45.5,5.8125,10.0625,1.5625,8.6875,4.6875,9.625,5.8125,11,30.0625,29.625,27.75,32.3125,29.5,31.875,29.375,39.8125,16.625,14.5625,7.625,12.9375,11.5625,8.5,12.75,10.875,40,38,43,40,42,42,42,40,191,310,346,318,395,325,309,335,0.689941,0.73999,0.699951,0.709717,0.709961,0.659912,0.820068,0.77002,0.670166,0.630127,0.610107,0.610352,0.600098,0.630127,0.51001,0.580078,-14.625,-16.75,-31,-10.375,-11.125,-26.4375,-30.6875,-22.3125,-38.511353,-30.116667,-38.674202,-27.822889,-38.279713,-33.502323,-37.896725,-28.74617,26.850283,17.299459,29.367119,18.540644,20.20454,19.151787,23.927214,20.718681,41.673977,47.449913,36.359276,45.580677,38.099903,38.865402,40.018536,46.475376,28.647827,31.797663,27.273163,31.274408,34.86187,31.084791,28.780674,24.963373,2.827911,3.45296,7.000437,4.604269,6.833689,10.898026,7.27358,7.842573,41.345364,40.209507,20.293398,45.008053,48.494453,26.186708,23.653395,27.179489,44.5,4.785156,617,6.414063,316
